epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.5225,0.70455,1.8442,1.00906,0.8645,0.49615,0.66018,0.55857,0.66005,1.96338,0.91171,0.000549052,0.000549052,0.000549052
1,62.5977,0.70455,1.8442,1.00906,0.8645,0.49615,0.66018,0.55857,0.66005,1.96338,0.91171,0.000549052,0.000549052,0.000549052
2,117.135,0.71757,1.17728,0.98254,0.81143,0.77452,0.83719,0.68708,0.67294,1.01578,0.91338,0.00109378,0.00109378,0.00109378
2,118.43,0.71757,1.17728,0.98254,0.81143,0.77452,0.83719,0.68708,0.67294,1.01578,0.91338,0.00109378,0.00109378,0.00109378
