epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2111.35,0.41334,0.33576,0.87712,0.95729,0.93799,0.97375,0.88718,0.37906,0.29033,0.81945,0.000990365,0.000990365,0.000990365
43,2162.8,0.40871,0.32644,0.89026,0.95396,0.95193,0.97562,0.88778,0.3932,0.28474,0.82572,0.000973861,0.000973861,0.000973861
44,2214.04,0.41131,0.3189,0.87734,0.95559,0.94038,0.97667,0.89203,0.37741,0.2723,0.82347,0.000957358,0.000957358,0.000957358
45,2263.76,0.40657,0.32174,0.87843,0.9594,0.93139,0.97371,0.89101,0.36181,0.28128,0.81396,0.000940855,0.000940855,0.000940855
46,2310.45,0.40709,0.3239,0.87417,0.97425,0.93516,0.97148,0.88833,0.39395,0.27466,0.82687,0.000924352,0.000924352,0.000924352
47,2359.79,0.39742,0.3152,0.87731,0.95311,0.94635,0.9717,0.89336,0.37688,0.27841,0.81446,0.000907848,0.000907848,0.000907848
48,2409.89,0.41983,0.33324,0.87987,0.9683,0.92251,0.97177,0.88741,0.36667,0.27767,0.8118,0.000891345,0.000891345,0.000891345
49,2457.85,0.37821,0.29491,0.86092,0.97955,0.94905,0.97585,0.89106,0.37058,0.27613,0.81657,0.000874842,0.000874842,0.000874842
50,2505.69,0.38147,0.29688,0.87267,0.95901,0.94856,0.97773,0.89191,0.36729,0.27375,0.81565,0.000858338,0.000858338,0.000858338
51,2554.6,0.38558,0.30609,0.86592,0.97172,0.94772,0.97626,0.89564,0.36571,0.27769,0.81801,0.000841835,0.000841835,0.000841835
52,2604.95,0.38734,0.30991,0.8724,0.94684,0.96209,0.97673,0.9031,0.33967,0.26418,0.80929,0.000825332,0.000825332,0.000825332
53,2655.55,0.36978,0.3057,0.87243,0.96419,0.9219,0.97359,0.89227,0.35872,0.28425,0.81332,0.000808828,0.000808828,0.000808828
