epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,17639.8,0.82945,0.50329,1.07517,0.91998,0.93421,0.95718,0.72196,0.79278,0.41831,1.07068,0.005842,0.005842,0.005842
44,18049.2,0.82021,0.49702,1.06833,0.92594,0.92426,0.94846,0.72367,0.79175,0.4215,1.06323,0.005743,0.005743,0.005743
45,18457.8,0.82286,0.49237,1.06603,0.9434,0.91653,0.95368,0.73685,0.78064,0.41993,1.05808,0.005644,0.005644,0.005644
46,18868.2,0.8056,0.48804,1.05144,0.92232,0.90976,0.95033,0.72453,0.78823,0.41208,1.06371,0.005545,0.005545,0.005545
47,19277,0.78374,0.46897,1.04642,0.9331,0.91441,0.94381,0.71748,0.79497,0.41844,1.0634,0.005446,0.005446,0.005446
48,19684.7,0.77124,0.46748,1.04462,0.92847,0.91545,0.94889,0.72337,0.78411,0.41157,1.06444,0.005347,0.005347,0.005347
49,20094.1,0.7753,0.45862,1.04204,0.93172,0.90711,0.94892,0.73112,0.77577,0.40013,1.05485,0.005248,0.005248,0.005248
50,20502,0.77511,0.46038,1.04519,0.95524,0.91104,0.95546,0.73262,0.77628,0.40545,1.06061,0.005149,0.005149,0.005149
51,20910.3,0.77533,0.45116,1.04761,0.93928,0.92444,0.94988,0.72847,0.77276,0.39596,1.06676,0.00505,0.00505,0.00505
52,21320.1,0.75519,0.44564,1.02639,0.93231,0.91134,0.95514,0.71778,0.79756,0.42645,1.07238,0.004951,0.004951,0.004951
53,21729.5,0.76338,0.45589,1.02997,0.92855,0.92803,0.94886,0.71334,0.80144,0.40966,1.07718,0.004852,0.004852,0.004852
54,22137.8,0.77002,0.45112,1.03524,0.93805,0.91877,0.956,0.71887,0.7977,0.40829,1.08596,0.004753,0.004753,0.004753
55,22545.5,0.7574,0.44695,1.04224,0.94016,0.93202,0.95302,0.71411,0.80138,0.40602,1.08348,0.004654,0.004654,0.004654
56,22954.7,0.75747,0.44553,1.0244,0.95138,0.91118,0.95366,0.72227,0.79633,0.40904,1.07089,0.004555,0.004555,0.004555
57,23364.6,0.74997,0.43565,1.02573,0.93855,0.90842,0.94479,0.72332,0.8032,0.39065,1.08926,0.004456,0.004456,0.004456
58,23772.1,0.74709,0.44057,1.02079,0.94375,0.91213,0.95477,0.7319,0.77721,0.39031,1.06425,0.004357,0.004357,0.004357
59,24181.1,0.74897,0.43944,1.02761,0.95275,0.90824,0.96031,0.72878,0.7915,0.39932,1.07641,0.004258,0.004258,0.004258
60,24590,0.72609,0.42276,1.01688,0.92232,0.92597,0.95814,0.73448,0.77835,0.39535,1.06814,0.004159,0.004159,0.004159
61,25000,0.73606,0.43579,1.02386,0.94828,0.92509,0.95854,0.73079,0.78203,0.39619,1.06713,0.00406,0.00406,0.00406
62,25409,0.71888,0.41377,1.01449,0.94117,0.92136,0.95419,0.72853,0.78038,0.38349,1.07811,0.003961,0.003961,0.003961
63,25817.1,0.72159,0.41931,1.00913,0.95484,0.91236,0.95693,0.73691,0.77578,0.38547,1.06325,0.003862,0.003862,0.003862
64,26224.7,0.71216,0.41524,1.00905,0.93866,0.91338,0.95345,0.73203,0.782,0.38412,1.07701,0.003763,0.003763,0.003763
65,26635.3,0.70892,0.41337,1.01147,0.93603,0.93591,0.96201,0.73982,0.76892,0.37696,1.07589,0.003664,0.003664,0.003664
66,27044.2,0.70792,0.41519,1.01053,0.94417,0.93838,0.96308,0.74279,0.76953,0.3721,1.06319,0.003565,0.003565,0.003565
67,27454.3,0.69553,0.40077,0.99749,0.94556,0.92043,0.96284,0.73792,0.77236,0.37835,1.05239,0.003466,0.003466,0.003466
68,27861.9,0.69225,0.40108,0.99208,0.95256,0.92472,0.95939,0.73836,0.77351,0.3762,1.06783,0.003367,0.003367,0.003367
69,28270,0.68559,0.3922,0.99236,0.94717,0.92915,0.96074,0.74067,0.77457,0.38127,1.06069,0.003268,0.003268,0.003268
70,28678.4,0.68321,0.39661,0.99567,0.94154,0.92582,0.95092,0.73261,0.77687,0.37069,1.07583,0.003169,0.003169,0.003169
71,29086,0.67708,0.38044,0.9838,0.94455,0.91979,0.95947,0.74009,0.7703,0.37946,1.06797,0.00307,0.00307,0.00307
72,29494.4,0.6826,0.39361,0.98983,0.93285,0.92292,0.95333,0.73414,0.77461,0.37653,1.07161,0.002971,0.002971,0.002971
73,29903.7,0.66815,0.38147,0.98474,0.93905,0.93406,0.96651,0.74323,0.7587,0.37267,1.05622,0.002872,0.002872,0.002872
74,30312.6,0.66538,0.37875,0.98768,0.9475,0.91745,0.9565,0.73733,0.77009,0.37081,1.07829,0.002773,0.002773,0.002773
75,30722.1,0.67888,0.38322,0.99334,0.92941,0.91974,0.95368,0.73783,0.75869,0.37134,1.07053,0.002674,0.002674,0.002674
76,31131.7,0.66474,0.37821,0.98663,0.94161,0.92062,0.95704,0.73522,0.77374,0.37663,1.08334,0.002575,0.002575,0.002575
77,31541.1,0.64608,0.36629,0.98155,0.94478,0.93414,0.96134,0.73989,0.76206,0.36784,1.07011,0.002476,0.002476,0.002476
78,31948.9,0.64011,0.37054,0.97636,0.94567,0.93145,0.96518,0.7388,0.77536,0.36725,1.0826,0.002377,0.002377,0.002377
79,32358.3,0.63332,0.36416,0.97899,0.94513,0.9286,0.96124,0.74192,0.76407,0.37178,1.07336,0.002278,0.002278,0.002278
80,32768.6,0.64713,0.37163,0.98465,0.94306,0.92514,0.95902,0.7385,0.7667,0.37015,1.07828,0.002179,0.002179,0.002179
